책이름,저자,출판사,출간일,가격
"거기, 내가 가면 안 돼요?",이금이,사계절,2017년 07월,"13,500"
재벌집 막내아들 5,산경,테라코타,2022년 11월,"15,300"
조커와 나,김중미,창비,2013년 01월,"11,700"
세계는 이렇게 바뀐다,단요,사계절,2023년 09월,"13,500"
나를 찾지 마,김범,클레이하우스,2023년 05월,"15,030"
산 자들,장강명,민음사,2019년 06월,"12,600"
두고 온 여름,성해나,창비,2023년 03월,"12,600"
광장 / 구운몽,최인훈,문학과지성사,2008년 11월,"11,700"
오직 두 사람,김영하,복복서가,2022년 07월,"11,700"
띵동! 당신의 눈물이 입금되었습니다,최소망,놀,2023년 05월,"15,120"
"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,2021년 12월,"12,600"
습기,마태,해피북스투유,2023년 09월,"15,120"
화성과 나,배명훈,래빗홀,2023년 11월,"14,220"
궁상각치우,강상범,역바연,2023년 07월,"13,500"
"진이, 지니",정유정,은행나무,2019년 05월,"12,600"
사랑의  생애,이승우,위즈덤하우스,2017년 03월,"14,400"
딩,문진영,현대문학,2023년 04월,"11,700"
밤의 여행자들,윤고은,민음사,2013년 10월,"12,600"
성은이 냥극하옵니다,백승화,안전가옥,2023년 11월,"10,800"
재벌집 막내아들 4,산경,테라코타,2022년 11월,"15,300"
러브 몬스터,이두온,창비,2023년 02월,"14,400"
귀하의 노고에 감사드립니다,김의경,문학동네,2023년 09월,"15,300"
빨치산의 딸 2,정지아,필맥,2005년 05월,"8,550"
너무 한낮의 연애,김금희,문학동네,2016년 05월,"12,600"
노을 건너기,천선란,창비,2023년 08월,"9,000"
파괴자들의 밤 ,서미애,안전가옥,2023년 06월,"14,400"
빨치산의 딸 1,정지아,필맥,2005년 05월,"8,550"
장마,윤흥길,민음사,2005년 10월,"9,900"
풀업,강화길,현대문학,2023년 08월,"12,600"
못 먹는 남자,정해연,엘릭시르,2023년 08월,"14,220"
너의 바다가 되어,고상만,크루,2021년 10월,"13,320"
내 심장을 쏴라,정유정,은행나무,2009년 04월,"10,800"
"땡스 갓, 잇츠 프라이데이",심너울,안전가옥,2020년 01월,"10,800"
미스 함무라비,문유석,문학동네,2016년 12월,"12,150"
수상한 초콜릿 가게,김예은,서랍의날씨,2022년 10월,"12,150"
2024 신춘문예 당선 소설집,임희강,한국소설가협회,2024년 01월,"18,000"
이효석문학상 수상작품집 2023,안보윤,북다,2023년 09월,"13,500"
내가 말하고 있잖아,정용준,민음사,2020년 06월,"12,600"
봄봄,김유정,사피엔스21,2012년 02월,"6,300"
붉은 방/해변의 길손,한승원,문학사상,2001년 08월,"13,950"
관촌수필,이문구,문학과지성사,2018년 09월,"15,300"
SF 보다 Vol.1 얼음,곽재식,문학과지성사,2023년 04월,"12,600"
재능의 불시착,박소연,알에이치코리아(RHK),2021년 10월,"15,120"
"하나의 인간, 인류의 하나",김동식,요다,2019년 03월,"11,700"
마주,최은미,창비,2023년 08월,"15,120"
이만큼 가까이,정세랑,창비,2021년 08월,"12,600"
치치새가 사는 숲,장진영,민음사,2023년 10월,"12,600"
"여름 너머, 여름",한윤서,메이킹북스,2022년 12월,"12,420"
직지 1,김진명,쌤앤파커스,2019년 08월,"12,600"
낙원은 창백한 손으로,박영,은행나무,2023년 08월,"15,120"
고양이와 사막의 자매들,예소연,허블,2023년 06월,"13,500"
딸에 대하여,김혜진,민음사,2017년 09월,"12,600"
한국단편문학선 2,김동인,민음사,1999년 03월,"9,900"
물 만난 물고기,이찬혁,수카,2019년 09월,"13,500"
직지 2,김진명,쌤앤파커스,2019년 08월,"12,600"
뉴서울파크 젤리장수 대학살,조예은,안전가옥,2019년 06월,"13,500"
고구려 6,김진명,이타북스,2021년 06월,"14,220"
"달려라, 아비",김애란,창비,2019년 09월,"13,500"
황만근은 이렇게 말했다,성석제,창비,2002년 06월,"12,600"
마주 본 거울에서 쏟아지는 수많은 몽타주,구아론,담매사,2024년 04월,"13,500"
나목·도둑맞은 가난,박완서,민음사,2005년 10월,"12,600"
자본주의의 적,정지아,창비,2021년 04월,"12,600"
